customer_id,credit_score,credit_history_length,number_of_accounts,total_credit_limit,credit_utilization,payment_history,public_records
CUST_006661,821,5,5,19498,0.059,0.96,0
CUST_006662,800,21,8,500,0.439,0.972,0
CUST_006663,680,0,1,8168,0.464,0.931,0
CUST_006664,818,15,1,81868,0.004,0.988,0
CUST_006665,850,13,3,3662,0.087,0.979,0
CUST_006666,617,0,4,18120,0.629,0.654,0
CUST_006667,699,4,1,11656,0.605,0.948,0
CUST_006668,682,2,6,1354,0.222,0.855,0
CUST_006669,678,8,2,21208,0.31,0.888,0
CUST_006670,760,0,2,7759,0.018,0.999,0
CUST_006671,691,1,3,8750,0.135,0.937,0
CUST_006672,600,0,1,12147,0.703,0.772,0
CUST_006673,736,2,1,605,0.588,0.901,0
CUST_006674,770,0,2,5867,0.184,0.967,0
CUST_006675,740,6,2,7941,0.205,0.904,0
CUST_006676,800,19,2,46617,0.295,0.983,0
CUST_006677,789,4,2,3350,0.227,0.966,0
CUST_006678,614,1,6,7626,0.864,0.619,0
CUST_006679,579,0,3,2166,0.815,0.604,0
CUST_006680,839,13,4,22178,0.254,0.983,0
CUST_006681,746,1,1,34177,0.467,0.87,0
CUST_006682,625,11,2,7226,0.962,0.657,0
CUST_006683,605,34,6,830,0.714,0.752,0
CUST_006684,850,5,6,8455,0.087,0.958,0
CUST_006685,709,7,4,9655,0.561,0.885,0
CUST_006686,710,27,2,67754,0.613,0.856,0
CUST_006687,850,18,5,14394,0.11,0.975,0
CUST_006688,534,0,1,1649,0.648,0.723,0
CUST_006689,850,20,2,52092,0.092,0.956,0
CUST_006690,623,16,3,13395,0.575,0.727,0
CUST_006691,842,6,3,5157,0.077,0.985,0
CUST_006692,592,34,1,4802,0.807,0.799,1
CUST_006693,723,6,5,2347,0.42,0.938,0
CUST_006694,850,14,4,18264,0.592,0.963,0
CUST_006695,850,18,2,58374,0.15,0.983,0
CUST_006696,850,14,6,92668,0.063,0.952,0
CUST_006697,693,2,4,5593,0.198,0.942,0
CUST_006698,812,25,10,17877,0.028,0.989,0
CUST_006699,717,19,3,17218,0.275,0.903,0
CUST_006700,839,0,5,1374,0.06,0.957,0
CUST_006701,731,2,5,14452,0.264,0.894,0
CUST_006702,767,3,6,33653,0.12,0.978,0
CUST_006703,663,0,5,1876,0.628,0.901,0
CUST_006704,670,4,7,8287,0.23,0.862,0
CUST_006705,718,2,2,4357,0.629,0.882,0
CUST_006706,642,0,0,1407,0.822,0.707,0
CUST_006707,641,4,4,1016,0.676,0.777,0
CUST_006708,850,23,6,29256,0.302,0.954,0
CUST_006709,850,0,5,6537,0.431,0.961,0
CUST_006710,661,0,1,2712,0.634,0.925,0
CUST_006711,749,0,8,23496,0.513,0.895,0
CUST_006712,693,6,2,3732,0.383,0.95,0
CUST_006713,850,16,10,43245,0.277,0.962,0
CUST_006714,794,5,6,19299,0.009,0.976,0
CUST_006715,850,24,1,5786,0.219,0.961,0
CUST_006716,598,0,1,3979,0.701,0.769,0
CUST_006717,673,2,1,3810,0.165,0.924,0
CUST_006718,817,8,4,33947,0.092,0.956,0
CUST_006719,596,1,2,5202,0.197,0.756,0
CUST_006720,662,18,5,9628,0.202,0.903,0
CUST_006721,817,45,1,26281,0.182,0.958,0
CUST_006722,749,6,4,176608,0.262,0.941,0
CUST_006723,794,4,5,17553,0.05,0.961,0
CUST_006724,830,16,8,9429,0.149,0.978,0
CUST_006725,850,11,5,63175,0.116,0.955,0
CUST_006726,727,6,1,32204,0.523,0.891,0
CUST_006727,754,16,5,3810,0.019,0.999,0
CUST_006728,572,0,1,6182,0.896,0.722,0
CUST_006729,830,0,4,13504,0.067,0.985,0
CUST_006730,609,0,10,1003,0.902,0.769,0
CUST_006731,843,8,7,2503,0.052,0.982,0
CUST_006732,670,0,5,3496,0.066,0.866,0
CUST_006733,678,0,1,1743,0.5,0.947,0
CUST_006734,757,0,7,2287,0.025,0.969,0
CUST_006735,648,0,2,1496,0.937,0.673,0
CUST_006736,676,3,4,13903,0.62,0.868,0
CUST_006737,850,0,4,23416,0.156,0.953,0
CUST_006738,714,0,4,40585,0.387,0.885,0
CUST_006739,606,4,6,11204,0.859,0.607,0
CUST_006740,850,21,5,53007,0.099,0.978,0
CUST_006741,839,1,6,14480,0.194,0.984,0
CUST_006742,850,9,6,13740,0.026,0.998,0
CUST_006743,756,21,6,15273,0.531,0.993,0
CUST_006744,750,0,3,968,0.284,0.983,0
CUST_006745,835,9,3,3685,0.304,0.981,0
CUST_006746,850,0,2,28118,0.059,0.965,0
CUST_006747,806,0,5,4220,0.173,0.956,0
CUST_006748,707,6,2,35359,0.275,0.935,0
CUST_006749,789,0,5,1012,0.101,0.996,0
CUST_006750,850,30,2,55467,0.21,0.992,0
CUST_006751,850,3,9,15876,0.199,0.956,0
CUST_006752,800,0,1,11785,0.222,0.988,0
CUST_006753,629,0,1,13951,0.299,0.678,0
CUST_006754,695,1,1,15381,0.467,0.854,0
CUST_006755,759,15,3,35693,0.061,0.957,0
CUST_006756,643,0,4,4940,0.599,0.822,0
CUST_006757,576,2,1,7695,0.594,0.757,2
CUST_006758,687,0,2,500,0.33,0.872,0
CUST_006759,802,11,2,9443,0.107,0.983,0
CUST_006760,734,12,5,12869,0.219,0.926,0
CUST_006761,653,0,4,4655,0.529,0.851,0
CUST_006762,716,0,2,11454,0.68,0.939,0
CUST_006763,811,6,1,26547,0.556,0.962,0
CUST_006764,850,9,5,8018,0.095,0.964,0
CUST_006765,693,42,6,34306,0.175,0.944,0
CUST_006766,540,3,0,500,0.714,0.822,0
CUST_006767,850,9,5,22811,0.05,0.967,0
CUST_006768,817,18,4,12667,0.035,0.978,0
CUST_006769,757,14,2,30474,0.003,0.997,0
CUST_006770,794,0,1,11012,0.204,0.976,0
CUST_006771,850,15,5,3633,0.031,0.959,0
CUST_006772,719,5,3,15857,0.313,0.876,0
CUST_006773,752,1,5,20564,0.129,0.986,0
CUST_006774,840,25,7,74190,0.149,0.985,0
CUST_006775,487,0,0,3409,0.887,0.743,0
CUST_006776,755,44,7,36997,0.577,0.994,0
CUST_006777,812,17,6,3421,0.097,0.968,0
CUST_006778,798,10,3,19542,0.034,0.981,0
CUST_006779,846,10,5,22227,0.371,0.999,0
CUST_006780,670,0,5,5443,0.141,0.898,0
CUST_006781,809,0,4,10307,0.018,0.986,0
CUST_006782,795,8,4,2179,0.017,0.958,0
CUST_006783,687,0,3,14133,0.116,0.871,0
CUST_006784,699,25,1,33744,0.327,0.92,0
CUST_006785,777,11,8,35021,0.248,0.997,0
CUST_006786,644,1,3,3168,0.682,0.775,0
CUST_006787,744,2,4,2145,0.383,0.915,0
CUST_006788,680,0,3,2898,0.424,0.915,0
CUST_006789,706,0,7,5976,0.439,0.872,0
CUST_006790,669,2,2,26440,0.681,0.866,0
CUST_006791,710,4,7,41140,0.594,0.908,0
CUST_006792,686,0,3,500,0.415,0.854,0
CUST_006793,589,0,4,1515,0.591,0.834,0
CUST_006794,657,0,7,14438,0.737,0.869,0
CUST_006795,850,21,4,10436,0.009,0.985,0
CUST_006796,818,8,6,11175,0.233,0.958,0
CUST_006797,702,0,3,4992,0.579,0.852,0
CUST_006798,850,10,6,10910,0.075,0.959,0
CUST_006799,749,12,5,21493,0.334,0.862,0
CUST_006800,815,29,5,16534,0.23,0.972,0
CUST_006801,850,11,6,31136,0.545,0.97,0
CUST_006802,762,56,3,13156,0.437,0.954,0
CUST_006803,850,0,6,34519,0.485,0.986,0
CUST_006804,622,0,1,500,0.497,0.691,0
CUST_006805,699,13,4,5955,0.249,0.936,0
CUST_006806,630,2,6,1326,0.721,0.71,0
CUST_006807,600,0,3,1360,0.73,0.838,0
CUST_006808,850,17,7,31634,0.207,0.97,0
CUST_006809,827,11,4,36488,0.198,0.963,0
CUST_006810,838,2,8,15181,0.179,0.966,0
CUST_006811,812,1,6,31792,0.072,0.952,0
CUST_006812,834,0,6,22226,0.207,0.998,0
CUST_006813,729,14,3,18276,0.209,0.89,0
CUST_006814,850,50,5,35603,0.083,0.982,0
CUST_006815,635,0,1,500,0.718,0.842,0
CUST_006816,520,0,2,2428,0.871,0.746,0
CUST_006817,850,11,5,32246,0.076,0.954,0
CUST_006818,806,19,1,13826,0.332,0.987,0
CUST_006819,664,4,3,26853,0.171,0.939,0
CUST_006820,775,9,5,41395,0.16,0.998,0
CUST_006821,610,2,2,11175,0.5,0.644,0
CUST_006822,850,10,4,82611,0.17,0.998,0
CUST_006823,677,5,3,21705,0.402,0.866,0
CUST_006824,850,22,6,10172,0.033,0.966,0
CUST_006825,571,15,3,36481,0.391,0.649,0
CUST_006826,667,1,3,8438,0.499,0.915,0
CUST_006827,746,0,2,500,0.389,0.879,0
CUST_006828,789,1,1,12875,0.371,0.997,0
CUST_006829,782,2,4,18593,0.155,0.98,0
CUST_006830,813,1,4,10986,0.33,0.993,0
CUST_006831,708,11,6,11056,0.9,0.948,0
CUST_006832,552,0,4,1953,0.94,0.803,0
CUST_006833,499,0,2,15677,0.802,0.781,0
CUST_006834,850,12,6,46378,0.049,0.977,0
CUST_006835,731,12,3,2510,0.03,0.856,0
CUST_006836,713,13,4,152708,0.109,0.85,0
CUST_006837,635,5,3,16742,0.51,0.656,0
CUST_006838,734,0,2,1670,0.396,0.881,0
CUST_006839,655,0,1,15113,0.32,0.923,0
CUST_006840,850,16,8,64449,0.045,0.967,0
CUST_006841,639,0,5,4956,0.678,0.806,0
CUST_006842,738,0,3,13404,0.091,0.894,0
CUST_006843,577,0,1,8101,0.865,0.83,1
CUST_006844,778,21,5,54976,0.015,0.98,0
CUST_006845,850,3,4,21756,0.393,0.996,0
CUST_006846,783,7,5,40932,0.533,0.986,0
CUST_006847,712,0,5,6101,0.233,0.928,0
CUST_006848,699,8,3,4671,0.464,0.906,0
CUST_006849,773,0,5,706,0.188,0.972,0
CUST_006850,850,8,6,19322,0.024,1.0,0
CUST_006851,764,1,5,13508,0.18,0.959,0
CUST_006852,803,1,10,16774,0.082,0.979,0
CUST_006853,850,19,4,42833,0.069,0.988,0
CUST_006854,710,0,4,1829,0.612,0.917,0
CUST_006855,462,0,0,1752,0.691,0.763,0
CUST_006856,585,0,1,2924,0.655,0.725,0
CUST_006857,538,1,0,505,0.754,0.76,0
CUST_006858,764,18,4,25101,0.224,0.958,0
CUST_006859,701,2,2,16159,0.458,0.916,0
CUST_006860,692,0,1,3571,0.583,0.884,0
CUST_006861,819,0,0,12901,0.092,0.973,0
CUST_006862,850,3,5,29590,0.116,0.98,0
CUST_006863,656,2,3,4443,0.142,0.885,0
CUST_006864,784,4,3,5583,0.677,0.953,0
CUST_006865,798,6,4,47562,0.177,0.967,0
CUST_006866,737,0,4,2609,0.057,0.922,0
CUST_006867,730,6,3,5700,0.108,0.888,0
CUST_006868,753,2,3,22077,0.156,0.988,0
CUST_006869,740,18,6,30769,0.265,0.863,0
CUST_006870,691,0,3,1506,0.12,0.86,0
CUST_006871,765,7,4,21395,0.496,0.969,0
CUST_006872,720,9,6,5869,0.504,0.861,0
CUST_006873,668,0,1,2903,0.77,0.935,0
CUST_006874,643,2,5,2490,0.499,0.776,0
CUST_006875,608,2,3,8554,0.929,0.752,0
CUST_006876,725,5,3,6496,0.588,0.907,0
CUST_006877,466,0,0,2328,0.744,0.837,3
CUST_006878,717,0,1,21095,0.072,0.862,0
CUST_006879,780,29,3,45538,0.108,0.958,0
CUST_006880,807,9,0,6849,0.061,0.999,0
CUST_006881,710,26,3,31625,0.498,0.87,0
CUST_006882,729,0,5,5010,0.673,0.904,0
CUST_006883,783,0,2,1012,0.097,0.989,0
CUST_006884,831,5,3,45986,0.114,0.999,0
CUST_006885,774,2,2,10133,0.347,0.981,0
CUST_006886,794,6,3,33134,0.135,0.995,0
CUST_006887,686,1,5,4183,0.372,0.936,0
CUST_006888,850,25,6,24609,0.186,0.994,0
CUST_006889,627,6,2,7550,0.569,0.671,0
CUST_006890,723,2,3,7916,0.057,0.898,0
CUST_006891,521,2,5,2100,0.636,0.751,0
CUST_006892,850,17,10,25274,0.126,0.974,0
CUST_006893,718,0,5,607,0.378,0.879,0
CUST_006894,767,0,3,773,0.026,0.984,0
CUST_006895,629,3,3,35071,0.42,0.776,0
CUST_006896,722,1,5,13069,0.5,0.915,0
CUST_006897,703,1,5,15310,0.418,0.858,0
CUST_006898,688,14,4,12872,0.393,0.917,0
CUST_006899,757,24,0,2905,0.067,0.987,0
CUST_006900,753,0,2,14331,0.173,0.965,0
CUST_006901,651,0,8,8040,0.645,0.932,0
CUST_006902,707,0,4,500,0.317,0.883,0
CUST_006903,850,0,5,1708,0.312,0.964,0
CUST_006904,850,8,3,27896,0.025,0.958,0
CUST_006905,635,1,3,4864,0.312,0.742,0
CUST_006906,850,9,9,8469,0.221,0.98,0
CUST_006907,598,14,2,2155,0.376,0.707,0
CUST_006908,765,1,2,9866,0.346,0.991,0
CUST_006909,737,1,4,5182,0.404,0.949,0
CUST_006910,839,14,4,29422,0.325,0.962,0
CUST_006911,850,3,4,27347,0.295,0.976,0
CUST_006912,757,3,3,19362,0.07,0.998,0
CUST_006913,740,0,2,1757,0.599,0.919,0
CUST_006914,632,8,3,11920,0.788,0.746,0
CUST_006915,683,0,0,804,0.381,0.913,0
CUST_006916,628,0,3,8122,0.371,0.712,0
CUST_006917,538,0,2,970,0.397,0.761,0
CUST_006918,709,9,3,10657,0.376,0.868,0
CUST_006919,556,0,2,3841,0.384,0.765,0
CUST_006920,645,0,0,781,0.611,0.706,0
CUST_006921,850,24,9,58939,0.048,0.977,0
CUST_006922,813,5,4,46988,0.426,0.984,0
CUST_006923,724,1,5,8657,0.441,0.858,0
CUST_006924,673,1,4,9088,0.44,0.935,0
CUST_006925,716,3,4,22061,0.231,0.866,0
CUST_006926,557,0,2,3142,0.616,0.625,1
CUST_006927,843,6,4,34526,0.191,0.996,0
CUST_006928,850,0,5,603,0.01,0.986,0
CUST_006929,850,3,5,10905,0.059,0.964,0
CUST_006930,647,7,1,5944,0.156,0.624,0
CUST_006931,655,1,4,11704,0.257,0.861,0
CUST_006932,543,1,2,588,0.406,0.803,1
CUST_006933,676,0,4,10691,0.686,0.864,0
CUST_006934,759,0,2,27351,0.211,0.973,0
CUST_006935,740,0,6,29118,0.287,0.856,0
CUST_006936,850,19,4,34376,0.239,0.958,0
CUST_006937,850,31,7,33586,0.067,0.965,0
CUST_006938,617,10,2,5963,0.694,0.694,0
CUST_006939,850,62,7,5345,0.062,0.998,0
CUST_006940,850,15,8,49631,0.115,0.988,0
CUST_006941,714,5,3,9496,0.282,0.93,0
CUST_006942,639,0,5,632,0.558,0.76,0
CUST_006943,637,19,6,13746,0.87,0.816,0
CUST_006944,785,3,4,30129,0.376,0.994,0
CUST_006945,850,5,9,33633,0.138,0.957,0
CUST_006946,819,0,2,6036,0.342,0.96,0
CUST_006947,687,8,2,5301,0.569,0.869,0
CUST_006948,776,8,3,64005,0.161,0.975,0
CUST_006949,740,8,4,2643,0.817,0.866,0
CUST_006950,850,14,2,33230,0.149,0.981,0
CUST_006951,850,11,6,22927,0.609,0.983,0
CUST_006952,728,0,5,9143,0.453,0.853,0
CUST_006953,716,0,6,5475,0.231,0.877,0
CUST_006954,850,20,5,64848,0.058,0.96,0
CUST_006955,850,7,5,26129,0.124,0.964,0
CUST_006956,825,8,3,7840,0.15,0.966,0
CUST_006957,805,1,2,5850,0.062,0.976,0
CUST_006958,558,0,4,1504,0.694,0.766,2
CUST_006959,685,0,9,1597,0.339,0.898,0
CUST_006960,717,5,4,19201,0.237,0.874,0
CUST_006961,527,0,2,3243,0.667,0.847,1
CUST_006962,823,0,5,14327,0.152,0.962,0
CUST_006963,759,23,5,14354,0.234,0.993,0
CUST_006964,640,0,6,2654,0.604,0.653,0
CUST_006965,779,0,2,14196,0.049,0.954,0
CUST_006966,788,45,4,17262,0.06,0.986,0
CUST_006967,752,8,6,61591,0.148,0.973,0
CUST_006968,850,0,4,28738,0.099,0.966,0
CUST_006969,560,0,1,3131,0.673,0.638,0
CUST_006970,606,4,3,807,0.832,0.613,0
CUST_006971,728,23,3,35891,0.316,0.876,0
CUST_006972,526,0,5,3714,0.912,0.782,0
CUST_006973,787,17,4,90777,0.527,0.994,0
CUST_006974,804,23,7,26558,0.166,0.965,0
CUST_006975,642,0,3,3390,0.838,0.679,0
CUST_006976,524,0,2,21841,0.83,0.679,0
CUST_006977,763,75,3,54022,0.183,0.964,0
CUST_006978,850,16,9,66091,0.267,0.969,0
CUST_006979,824,16,8,22948,0.045,0.981,0
CUST_006980,718,3,4,1386,0.604,0.915,0
CUST_006981,577,17,0,10328,0.483,0.785,0
CUST_006982,850,3,3,54185,0.284,0.973,0
CUST_006983,780,16,4,7025,0.587,0.984,0
CUST_006984,694,7,1,4748,0.071,0.866,0
CUST_006985,850,1,3,91317,0.453,0.999,0
CUST_006986,724,13,4,4873,0.324,0.86,0
CUST_006987,580,0,1,3522,0.675,0.624,0
CUST_006988,850,6,4,17755,0.345,0.968,0
CUST_006989,660,4,3,9004,0.372,0.912,0
CUST_006990,819,24,6,8371,0.775,0.996,0
CUST_006991,850,0,2,8567,0.245,0.997,0
CUST_006992,697,1,2,12327,0.099,0.875,0
CUST_006993,842,14,3,64801,0.048,0.957,0
CUST_006994,644,3,4,18744,0.419,0.727,0
CUST_006995,621,5,4,16001,0.799,0.607,0
CUST_006996,837,5,3,10665,0.569,0.973,0
CUST_006997,759,0,5,5485,0.024,0.979,0
CUST_006998,850,27,5,64172,0.265,0.995,0
CUST_006999,724,4,2,10835,0.515,0.886,0
CUST_007000,850,67,3,4918,0.111,0.975,0
CUST_007001,833,7,5,11921,0.073,0.995,0
CUST_007002,703,0,2,8121,0.244,0.893,0
CUST_007003,637,5,2,32385,0.524,0.847,0
CUST_007004,802,5,9,31665,0.551,0.966,0
CUST_007005,468,4,0,500,0.742,0.612,0
CUST_007006,795,6,4,40707,0.017,0.991,0
CUST_007007,620,0,3,2935,0.489,0.789,0
CUST_007008,696,4,3,29414,0.278,0.931,0
CUST_007009,758,11,3,17391,0.142,0.984,0
CUST_007010,674,9,5,8254,0.119,0.854,0
CUST_007011,583,0,0,1690,0.424,0.674,0
CUST_007012,850,2,6,72542,0.182,0.961,0
CUST_007013,806,19,5,70543,0.045,0.954,0
CUST_007014,794,5,6,27637,0.381,0.991,0
CUST_007015,764,15,3,8011,0.304,0.951,0
CUST_007016,850,0,8,3574,0.065,0.971,0
CUST_007017,758,0,4,5995,0.034,0.992,0
CUST_007018,770,2,2,26799,0.488,0.956,0
CUST_007019,637,1,3,4221,0.615,0.719,0
CUST_007020,754,1,3,2686,0.457,0.964,0
CUST_007021,736,11,2,24337,0.159,0.942,0
CUST_007022,850,30,7,16059,0.417,0.959,0
CUST_007023,692,0,5,1841,0.114,0.897,0
CUST_007024,850,9,6,37174,0.343,0.979,0
CUST_007025,850,6,3,1068,0.232,0.988,0
CUST_007026,678,0,6,5851,0.335,0.89,0
CUST_007027,834,21,5,6025,0.136,0.995,0
CUST_007028,701,6,2,1142,0.454,0.934,0
CUST_007029,596,5,3,6129,0.586,0.658,0
CUST_007030,606,8,1,17449,0.441,0.607,0
CUST_007031,708,0,6,1886,0.768,0.924,0
CUST_007032,657,0,3,2604,0.453,0.932,0
CUST_007033,850,18,7,22220,0.204,0.995,0
CUST_007034,772,18,7,9817,0.072,0.984,0
CUST_007035,804,10,10,2052,0.402,0.968,0
CUST_007036,821,15,6,25025,0.33,0.977,0
CUST_007037,612,42,3,10696,0.509,0.64,0
CUST_007038,815,1,5,19716,0.12,0.998,0
CUST_007039,850,2,9,25574,0.307,0.982,0
CUST_007040,712,0,2,6351,0.48,0.943,0
CUST_007041,564,0,5,5642,0.508,0.724,0
CUST_007042,675,1,2,75195,0.547,0.901,0
CUST_007043,748,6,3,37309,0.24,0.925,0
CUST_007044,850,14,4,35781,0.174,0.953,0
CUST_007045,824,2,7,113206,0.122,0.951,0
CUST_007046,811,0,5,4970,0.134,0.979,0
CUST_007047,637,4,4,18708,0.524,0.834,0
CUST_007048,757,8,4,32098,0.049,0.965,0
CUST_007049,712,3,4,31694,0.515,0.949,0
CUST_007050,754,2,10,2261,0.144,0.95,0
CUST_007051,667,3,2,3024,0.718,0.862,0
CUST_007052,538,0,2,2891,0.346,0.775,0
CUST_007053,777,0,3,16796,0.321,0.951,0
CUST_007054,837,37,6,22897,0.151,0.99,0
CUST_007055,733,0,5,578,0.483,0.885,0
CUST_007056,731,19,4,3184,0.774,0.871,0
CUST_007057,816,0,4,3689,0.16,0.965,0
CUST_007058,733,5,3,9710,0.052,0.877,0
CUST_007059,566,0,1,38458,0.432,0.673,0
CUST_007060,850,5,6,2532,0.066,0.995,0
CUST_007061,644,0,0,3520,0.81,0.835,0
CUST_007062,850,6,4,89363,0.248,0.955,0
CUST_007063,660,2,2,3410,0.442,0.949,0
CUST_007064,823,15,4,9304,0.289,0.995,0
CUST_007065,784,4,5,34240,0.05,0.998,0
CUST_007066,700,9,2,8859,0.6,0.904,0
CUST_007067,760,0,2,12944,0.162,0.99,0
CUST_007068,634,0,4,3588,0.754,0.615,0
CUST_007069,729,7,5,8255,0.164,0.945,0
CUST_007070,740,17,6,6720,0.399,0.85,0
CUST_007071,850,6,5,79138,0.511,0.992,0
CUST_007072,780,5,4,27175,0.001,0.973,0
CUST_007073,850,20,3,80265,0.117,0.989,0
CUST_007074,723,1,2,17625,0.592,0.899,0
CUST_007075,792,4,2,86681,0.049,0.961,0
CUST_007076,831,34,4,17717,0.468,0.988,0
CUST_007077,850,24,7,18702,0.377,0.981,0
CUST_007078,802,7,5,20229,0.161,0.959,0
CUST_007079,678,3,1,18719,0.345,0.863,0
CUST_007080,706,0,1,3642,0.368,0.909,0
CUST_007081,612,0,4,10625,0.751,0.818,0
CUST_007082,836,7,4,6076,0.199,0.954,0
CUST_007083,756,1,5,11199,0.366,0.966,0
CUST_007084,675,22,0,26076,0.195,0.863,0
CUST_007085,724,0,4,3820,0.553,0.865,0
CUST_007086,739,9,4,4849,0.611,0.944,0
CUST_007087,771,3,3,14249,0.42,0.952,0
CUST_007088,788,12,3,14853,0.024,0.973,0
CUST_007089,705,16,1,10035,0.698,0.884,0
CUST_007090,691,7,1,18916,0.458,0.932,0
CUST_007091,645,4,2,565,0.345,0.755,0
CUST_007092,716,4,2,4217,0.588,0.897,0
CUST_007093,850,1,6,50221,0.068,0.955,0
CUST_007094,850,24,4,16270,0.515,0.952,0
CUST_007095,790,4,1,10927,0.47,0.985,0
CUST_007096,850,4,3,1151,0.407,0.961,0
CUST_007097,662,5,1,21795,0.209,0.936,0
CUST_007098,738,8,0,3013,0.075,0.924,0
CUST_007099,824,0,3,35609,0.032,0.988,0
CUST_007100,803,4,4,14313,0.093,0.99,0
CUST_007101,785,14,2,20661,0.424,0.989,0
CUST_007102,722,5,5,8751,0.445,0.938,0
CUST_007103,850,0,6,10587,0.211,0.989,0
CUST_007104,805,0,9,22834,0.154,0.958,0
CUST_007105,638,0,9,1873,0.526,0.777,0
CUST_007106,528,0,2,958,0.793,0.748,0
CUST_007107,786,26,3,6307,0.277,0.953,0
CUST_007108,651,5,4,25210,0.377,0.859,0
CUST_007109,806,26,5,5127,0.255,0.97,0
CUST_007110,764,0,5,4849,0.262,0.993,0
CUST_007111,780,32,1,19458,0.149,0.964,0
CUST_007112,807,20,1,97619,0.003,0.994,0
CUST_007113,794,0,4,2392,0.246,0.985,0
CUST_007114,635,0,3,1262,0.776,0.816,0
CUST_007115,786,17,5,16870,0.138,0.977,0
CUST_007116,850,2,10,11816,0.118,0.966,0
CUST_007117,720,11,5,55880,0.326,0.852,0
CUST_007118,739,0,6,2647,0.156,0.916,0
CUST_007119,638,0,1,3673,0.481,0.656,0
CUST_007120,649,2,4,795,0.57,0.699,0
CUST_007121,757,0,4,3094,0.093,0.965,0
CUST_007122,670,0,6,4039,0.706,0.882,0
CUST_007123,850,1,6,9325,0.249,0.999,0
CUST_007124,850,0,7,5436,0.03,0.953,0
CUST_007125,601,0,2,867,0.79,0.69,0
CUST_007126,657,0,3,1969,0.347,0.924,0
CUST_007127,646,0,2,2109,0.267,0.732,0
CUST_007128,599,0,3,9008,0.445,0.687,0
CUST_007129,735,4,4,16140,0.569,0.933,0
CUST_007130,840,8,16,26897,0.02,0.97,0
CUST_007131,728,30,4,9842,0.296,0.928,0
CUST_007132,675,2,1,41414,0.185,0.898,0
CUST_007133,648,0,5,3092,0.829,0.627,0
CUST_007134,658,0,3,14098,0.581,0.871,0
CUST_007135,653,0,2,1453,0.194,0.869,0
CUST_007136,850,0,6,19028,0.351,0.979,0
CUST_007137,744,0,3,1416,0.232,0.878,0
CUST_007138,850,2,4,2189,0.145,0.955,0
CUST_007139,600,6,1,34398,0.837,0.731,0
CUST_007140,761,5,0,4716,0.094,0.954,0
CUST_007141,749,21,4,968,0.222,0.936,0
CUST_007142,649,0,2,2806,0.877,0.846,0
CUST_007143,571,0,4,6031,0.594,0.846,0
CUST_007144,666,12,1,8591,0.157,0.884,0
CUST_007145,801,1,11,33736,0.338,0.977,0
CUST_007146,675,7,7,38245,0.488,0.86,0
CUST_007147,611,20,2,7024,0.715,0.775,0
CUST_007148,792,0,3,10136,0.271,0.968,0
CUST_007149,850,12,3,58350,0.05,0.985,0
CUST_007150,841,11,3,38556,0.486,0.99,0
CUST_007151,793,7,3,6706,0.016,0.998,0
CUST_007152,800,0,3,755,0.085,0.975,0
CUST_007153,765,16,3,14524,0.187,0.99,0
CUST_007154,637,50,3,11243,0.521,0.65,0
CUST_007155,810,2,9,13015,0.129,0.962,0
CUST_007156,590,0,4,500,0.536,0.746,0
CUST_007157,681,0,4,3243,0.681,0.858,0
CUST_007158,709,0,5,6283,0.59,0.876,0
CUST_007159,618,5,2,1545,0.69,0.696,0
CUST_007160,850,18,7,79719,0.102,0.992,0
CUST_007161,716,7,4,42170,0.547,0.857,0
CUST_007162,738,0,4,4019,0.221,0.915,0
CUST_007163,784,3,4,29887,0.298,0.998,0
CUST_007164,679,0,2,1113,0.707,0.922,0
CUST_007165,509,0,0,603,0.574,0.718,0
CUST_007166,708,35,3,17283,0.452,0.95,0
CUST_007167,699,0,2,8753,0.078,0.918,0
CUST_007168,850,4,0,44132,0.043,0.961,0
CUST_007169,769,17,3,13374,0.159,0.965,0
CUST_007170,723,0,5,3522,0.202,0.877,0
CUST_007171,850,0,6,18677,0.294,0.986,0
CUST_007172,760,1,5,9984,0.17,0.991,0
CUST_007173,791,0,3,3119,0.063,0.954,0
CUST_007174,765,6,5,7261,0.459,0.998,0
CUST_007175,850,7,7,1364,0.061,0.984,0
CUST_007176,569,0,2,500,0.527,0.641,0
CUST_007177,814,4,8,8245,0.196,0.971,0
CUST_007178,800,11,4,85993,0.04,0.966,0
CUST_007179,621,0,2,500,0.644,0.707,0
CUST_007180,749,3,0,4557,0.239,0.888,0
CUST_007181,843,13,7,60881,0.458,0.977,0
CUST_007182,663,0,6,3284,0.346,0.916,0
CUST_007183,745,9,0,17946,0.081,0.949,0
CUST_007184,850,2,4,13131,0.122,0.951,0
CUST_007185,747,9,3,21818,0.495,0.888,0
CUST_007186,599,0,4,3879,0.729,0.771,1
CUST_007187,828,2,4,17306,0.137,0.953,0
CUST_007188,681,18,1,21269,0.411,0.921,0
CUST_007189,774,12,5,3481,0.207,0.995,0
CUST_007190,774,11,6,23530,0.022,0.957,0
CUST_007191,757,1,1,74303,0.274,0.995,0
CUST_007192,777,0,4,7834,0.071,0.976,0
CUST_007193,801,0,7,9860,0.078,0.982,0
CUST_007194,622,19,3,1247,0.661,0.645,0
CUST_007195,599,11,2,40599,0.844,0.623,0
CUST_007196,850,14,8,11150,0.24,0.997,0
CUST_007197,664,0,4,4608,0.244,0.854,0
